id	text	misogynous	aggressiveness
5014	<MENTION_1> <MENTION_2> vero...ma c'e chi ti cerca, che ti vuole, piu' di ogni cosa al mondo......ma non sa se viene capito..... potrebbe esser mal interpretato e di conseguenza all'abbraccio esser denunciato per molestie sessuali e/o stupro...Bello il pe	0	0
5015	La cosa del filo del telefono attorno alla gola è presa da una lite di Stefanie e Brooke in Beautiful#chilhavisto	0	0
5016	“Quanti schiaffi, #Malinconico. Li meriteresti tutti, perché anche questa volta sei riuscito a lasciare il segno.E no, non era facile...”&#x1f447;#IValoriCheContano #DiegoDeSilva #recensione#BelloLeggere <MENTION_1> #follipergialli <MENTION_2> <MENTION_3>	0	0
5017	L’unica cosa più eccitante della tua perfetta bellezza sarebbe il trattarti come la cagna che sei.	1	1
5018	La commistione tra potere economico, politico e criminale è straordinariamente forte, si auto-alimenta, corrompe, travolge e annienta i nemici.È scandaloso, non si può restare silenti!#Malta #DaphneCaruanaGalizia	0	0
5019	mi è entrato un insetto in gola mentre camminavo	0	0
5020	Tutti quelli che ho conosciuto mi hanno sempre detto che a primo impatto sembro stronza e psicopatica ma in verità sono una cucciola	1	0
5021	Quando cantava mischiava 'anima' e oscurità. Una voce unica, inimitabile, una donna schiava del suo stesso triste destino. #AmyWinehouse non c'è più da nove anni e nessuna l'ha ancora rimpiazzata.E, credo, non accadrà mai.	0	0
5022	<MENTION_1> <MENTION_2> Lurida razzista xenofoba te il virus ce l'hai nel buco del culo! Zozza fascista vergognati te!	1	1
5023	<MENTION_1> Che bel culo	1	0
5024	<MENTION_1> So che tu sei acida&#x1f602;	0	0
5025	<MENTION_1> A 90 tutto in culo Troia che non sei altro	1	1
5026	<MENTION_1> Porca troia che gran pezzo di figa	1	0
5027	Classico discorso di una psicopatica egocentrica. Poi sta storia che "con me sta facendo scuola", ma chi si crede di essere Anna, la dea del sesso e delle donne? Ma io non ho parole. #TemptationIsland	1	0
5028	I destagli di un'opera d'arte ci fanno comprendere meglio ciò che l'intero significa...	0	0
5029	HAHAHAHAHA IO TI AMO	0	0
5030	 Italy  è al primo posta in tendenza, apro e mi ritrovo questo <MENTION_1> ti amo HAHAHAHAHAHAHAHAH	0	0
5031	<MENTION_1> Bel buco di culo aperto deve essere caldo e molto accogliente	1	1
5032	<MENTION_1> che bel culo	1	0
5033	<MENTION_1> <MENTION_2> <MENTION_3> Un provocatore. Se l'è cercata &#x1f600;	0	0
5034	<MENTION_1> Puttanone che non sei altro, ora ti piscio nel culo	1	1
5035	Prima andate da Gucci a chiedere dove si trova, poi a urlare il suo nome sotto al suo hotel. E dopo vi lamentate se lui non si fa la foto con voi? Ma voi state male, nonostante tutto quello che gli è successo in questi giorni.Giuro che le prenderei a schiaffi una per una.	1	0
5036	<MENTION_1> <MENTION_2> A questa qui le darei tanti di quwlli schiaffi finché non si prendeva ..tutti i giorni dalla mattina alla sera..	1	1
5037	<MENTION_1> <MENTION_2> L' italiano è un popolo perso vedo anziani sotto il solleone da soli camminare con la mascherina che soffrono da morire.. L' ignoranza in italia si sa è cronica ed è quindi da farabutti approfittarsene come fa questa lurida sinistr	0	0
5038	Oramai dalla politica del P.D. si intravedono i segnali della sua trasformazione. Da partito di sinistra a Democrazia Cristiana, la vecchia baldracca degli anni 80-90 del secolo scorso che dispensava marchette come quando Gentiloni e amici di merende inventarono le baby pensioni.	0	0
5039	<MENTION_1> da una parte i mitomani dell euro che festeggiano l'impiccagione al nodo scorsoio dei prestiti internazionali, dall altra i negazionisti del virus, tanto è il popolo bue a infettarsi. In mezzo Confindustria che è entrambe le cose. Cosa può andare s	0	0
5040	<MENTION_1> La faccia della Merkel... vi ricordate il Berluska quando le dava della ehmm.. ‘culona?’ecco stessa espressione..&#x1f923;&#x1f923;&#x1f602;&#x1f923;&#x1f602;	1	0
5041	<MENTION_1> <MENTION_2> La feccia delle donne, sta lurida	1	0
5042	<MENTION_1> Ti sfonderei tutta&#x1f61c;&#x1f61c;	1	1
5043	<MENTION_1> La lurida #lamorgese non ha un account Twitter per dirglielo in faccia che è una #merda lei è tutto il #merdume che la circonda#Lamorgesedimettiti #GovernodellaVergogna #GovernoDelContagio #governoclandestino	1	1
5044	<MENTION_1> Nessuno che si alza e lo prende a schiaffi?	0	0
5045	<MENTION_1> Magari.È una donna comunque, lurida stronza.	1	1
5046	<MENTION_1> Ti scoperei volentieri la bocca fino alla gola. Dm?	1	1
5047	Dopo il balena &#x1f433; tempo, prendo brunch &#x1f48b;	0	0
5048	#DarkNeftlix s3, perso il conto dei Jonas e Martha, unica certezza Hannah, psicopatica in un mondo e psicopatica pure nell’altro, grazie hannah tvb #23luglio	0	0
5049	Guarda te che la Baldracca genuflessa vota no	1	0
5050	ANDREA MA COME CAZZO TE LO DOBBIAMO SPIEGARE? SVEGLIATI PORCA PUTTANA LURIDA #TempationIsland	0	0
5051	mamma tranquilla che non sono l’unica 20enne che non sa cosa cazzo deve fare della sua vita chill che è già bello che non mi sia sparata in gola anni fa	0	0
5052	Nessuno:Letteralmente nessuno:Mia madre che chiama una mia ex: LURIDAokay mom#tiziaparty	0	0
5053	<MENTION_1> Dipende dalle tette, comunque non sarebbero grandi follower.	1	0
5054	<MENTION_1> Si ma poi ci sono i 20enni che si comportano da 40enni e sarebbero anche quelli da schiaffi.	0	0
5055	<MENTION_1> Ti mando un DM mentre scopo <MENTION_1>	1	0
5056	<MENTION_1> Che gran bel culo Carla &#x2764;️&#x1f4af;&#x1f60d;&#x1f51d;&#x2764;️	1	0
5057	VI DAREI DUE SCHIAFFI QUANDO FATE COSÌ	0	0
5058	<MENTION_1> Mai combattere contro una directioner psicopatica che usa l’emoji che sorride al contrario. MAI.	1	0
5059	<MENTION_1> Che bella figa tutta da leccare e scopare profondamente con entrata di palle	1	1
5060	andrea scappa da quella matta psicopatica ti prego, sarai un buon padre QUANDO LO VORRAI TU. #TemptationIsland	0	0
5061	<MENTION_1> lei tettona e naturale pure	1	0
5062	<MENTION_1> Che bel culo wow	1	0
5063	se salta fuori che devo uscire domani pomeriggio impongo la tappa al bar e mi prendo due ichnusa così divento meno acida	0	0
5064	<MENTION_1> Che bocce &#x1f61c;	1	0
5065	I commenti che sto leggendo sotto questo tweet mi fanno venir voglia di prendere a schiaffi chi li ha scritti, dal primo all’ultimo.	0	0
5066	<MENTION_1> Da schiaffi.	0	0
5067	<MENTION_1> Reportami. O dimmi dove trovare delle polpette che non si nchiommino in gola.	0	0
5068	Dobbiamo infilare una pillola in gola ad hoshi &#x1f63e;	0	0
5069	<MENTION_1> Bella tettona	1	1
5070	Continua. Vuole il mio nome e cognome, adesso.	0	0
5071	Comu io una fidanzata tettona me la meritavo tbh	1	0
5072	<MENTION_1> <MENTION_2> Io ad una che dice così le darei un sacco di schiaffi	1	0
5073	Daddy hi! &#x1f62b;&#x1f64f;&#x1f62d;&#x1f499;&#x1f499;&#x1f499;&#x1f499;&#x1f499; Ho dormito dopo il balena tempo!! &#x1f499;&#x1f499;&#x1f499;&#x1f499;&#x1f499;&#x1f499;&#x1f499; Quando ore è passato ?!	0	0
5074	MA DA QUANDO UNA DONNA SENZA FIGLI DEV’ESSERE ACIDA E POI PIETRO AMORE MIO LA COSA DEI LUTTI DI ANTONELLA POTEVI EVITARTELA CHE FASTIDIO #TemptationIsland	0	0
5075	<MENTION_1> Brava chiamami che ti scopo alla grande	1	1
5076	<MENTION_1> Che pompinara	1	0
5077	per la lista del voglio, sempre quella che mi seppellirà	0	0
5078	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> Ti piace il mio cazzone Facciamo in video . Ti scopo tutta	1	1
5079	Coronavirus. Conte torna vittorioso in Patria. A Salvini dice culo che col bel tempo siano attivi gli sbarchi a #Lampedusa visto che per le #sagre c'è ancora il blocco.(elle kat <MENTION_1> #coronavirus #RecoveryFund #Conte #Salvini #propaganda #migranti #sbarchi	0	0
5080	<MENTION_1> La verità è che sei un pezzo di figa	1	0
5081	Rocco Casalino: "Vorrei dare tanti schiaffi morali a chi mi deride" -	0	0
5082	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> <MENTION_8> <MENTION_9> <MENTION_10> <MENTION_11> <MENTION_12> <MENTION_13> <MENTION_14> <MENTION_15> <MENTION_16> Infatti ti chiamo ‘ciccirillosa’ per darti fastidio: più eri acid	1	0
5083	<MENTION_1> <MENTION_2> Ti scoperei	1	1
5084	E hanno parato nuovamente le terga alla mignotta del colera delle fogne Staller psicopatica zozzona merdaioli coi microfoni in culo che ancora fa intrattenimento su radio nazionali per la faccia di merda	1	1
5085	<MENTION_1> che Troia che sei &#x1f608;	1	1
5086	Il "Miracolo degli impiccati" di Raffaello diventa digitale	0	0
5087	Io fino all’anno scorso mi incazzavo molto quando leggevo SCHIFEZZE (e sottolineo schifezze, non critiche, ma insulti allucinanti e anche qualche bel augurio di morte) su Allegri, perché era disgustoso e creava un clima invivibile qui.E sorvolo sugli insulti e prese per il culo>	0	0
5088	io &#x1f91d; ciò che dico ma che non faccio mai	0	0
5089	Pietro proprio un pezzente a dirle che è acida perché non ha figli. Ci sono argomenti che non possono essere sbandierati alla prima persona che vedi e i figli sono uno di questi. Se lei non ne ha avuti non sei nessuno per parlarne a terzi. #TemptationIsland	0	0
5090	<MENTION_1> <MENTION_2> ma che bel culo comunque	1	0
5091	<MENTION_1> Povero, portategli un puttanone in cella dai	1	0
5092	Che bella pompinara&#x1f60b;&#x1f60b;&#x1f60b;&#x1f60b;	1	0
5093	Carabinieri a Piacenza, le torture agli stranieri in lacrime e il raid per lo sconto sull’auto: "Che schiaffi, come Gomorra"	0	0
5094	<MENTION_1> Ti scoperei il culo e in bocca ti farei impazzire	1	1
5095	Fanno tutti schifo però quando giocate contro di noi prendete schiaffi	0	0
5096	<MENTION_1> Io ti scoperei	1	0
5097	<MENTION_1> <MENTION_2> Sarri non sarà mai da Juve. Parolacce, sigarette, abbigliamento da torneo di bocce...tutto questo rispecchia il modo di mandare in campo i giocatori. Una sufficienza che somiglia molto al suo modo di essere. Sufficiente.	0	0
5098	<MENTION_1> Ti vengo in bocca e t’ingravido la gola porca &#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;	1	1
5099	King dei match pointLa Generosa baldracca è tornata	1	0
5100	<MENTION_1> Cagati in mano e prenditi a schiaffi. Sti post te li infili nel culo!	0	0
5101	Presi a schiaffi dell'Udinese. Senza attenuanti.Molti, troppi giocatori impresentabili oggi e in tutta la stagione. Mezza squadra è da vendere senza se e senza ma.Quanto mi sto incazzando nelle ultime partite...	0	0
5102	<MENTION_1> <MENTION_2> Ti manda la mafia o quel puttanone di tua mamma?	1	0
5103	<MENTION_1> ALT! I primi 3 anni abbiamo giocato a pallone, e ha funzionato, gli ultimi due anni abbiamo giocato così e ci siamo fatti prendere a schiaffi dai ragazzini dell'Ajax...	0	0
5104	<MENTION_1> e io che pensavo che psicopatica fosse il tuo secondo nome	1	0
5105	Darei volentieri il culo a un bel dotato stasera!!! Vorrei essere farcito bene!	0	0
5106	<MENTION_1> Il lato positivo è chese 1/100 è psicopatica/o da Cluster B,99 sono normali.Se il 50% dei minori ha genitori divorziati,solo al 30-40% di questi viene impedito di vedere metà della propria famiglia.La responsabilità delle scelte è individual	0	0
5107	Io che ho le tette medie ho dormito un po' bene e un po' male, la teoria si conferma	0	0
5108	#Carabinieri Piacenza, "Lo abbiamo ucciso". "Quanti schiaffi, sembrava Gomorra"	0	0
5109	<MENTION_1> Buongiorno che faccia da Troia che hai.....quanto ti chiaverei!	1	1
5110	<MENTION_1> ce l’ho proprio in gola tra poco arriva	0	0
5111	<MENTION_1> Abbiamo un tipo, non c’è niente da fare!Poi amo Adam, lo amo nel senso che Adam sono praticamente io e quindi vorrei prenderlo a schiaffi 24/7 ma alla fine mi ci rivedo così tanto che non posso non volergli bene.	0	0
5112	LOUIS TOMLIBSON TI PRENDO A SCHIAFFI IN FACCIA	0	0
5113	Gli attuali teenager, con le loro comitive e con le loro provocazioni, meriterebbero soltanto una compilation infinita di schiaffi.	0	0
5114	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> Grazie per la fiducia Alex! &#x1f64f; &#x1f60d;&#x1f645;&#x1f61a;. Non appena ho letto, mi sono sentita il nodo in gola perché mai e poi mai condividerei qualcosa con esseri simili a questo signore. Io 	0	0
5115	ORA ARRIVA LA PSICOPATICA CHE HA PRESO IL FIGLIO COME UN GIOCO #circozzi	1	0
5116	<MENTION_1> Ti scopo e ti riempio di sborra.	1	1
5117	<MENTION_1> Mi fai arrapare	1	0
5118	<MENTION_1> <MENTION_2> Affittare (in 9 persone) un motoscafo per una giornata sarebbe “ostentare la propria ricchezza in faccia a chi soffre”? Si commenta una foto in barca come se fosse un video di parlamentari ubriachi che sciabolano bocce di champag	0	0
5119	LOUIS CHE FA IL SOTTONE MENTRE HARRY È UNA FIGA DI LEGNO E SI FA DESIDERARE NON INIZIANDOLO A SEGUIRE SUBITO È LA COSA DI CUI NON SAPEVO DI AVERE BISOGNO VOLO ALTISSIMO &#x2708;️&#x2708;️&#x2708;️&#x2708;️ #10YearsOfOneDiretion	0	0
5120	<MENTION_1> Che culo te lo metterei tutto dentro anche le palle per poi sborrarti sul quel bel culo&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;	1	1
5121	<MENTION_1> Infatti io persona psicopatica mi incazzo per ogni respiro	0	0
5122	<MENTION_1> Mmmmmm che bel culo	1	0
5123	Meraviglia	0	0
5124	vi presento un esemplare di directioner pazza e psicopatica	1	0
5125	<MENTION_1> Tettona mia &#x1f60d;&#x2764;️	1	0
5126	Ora vai a fare una strage come Elliot Rodger così l'intero internet potrà prendere per il culo te e il tuo micropene	0	0
5127	ho le tette così grandi che un altro po’ escono dal costume.m i s o n o c a g a t a i l c a z z o .	0	0
5128	<MENTION_1> Che bel culo &#x1f609;&#x1f605;	1	0
5129	amo mi emozioni porca pennetta usb	0	0
5130	oggi prendo a schiaffi tutti ma una persona in particolare che mi sta facendo girare le palline madonna	0	0
5131	Una famiglia libera una balena intrappolata in una rete: l'animale "ringrazia" con dei salti spettacolari	0	0
5132	Per aizzare i suoi cani contro di te. La feccia, proprio.	0	0
5133	MADONNA CHIATTONA TI MANGIO	1	0
5134	Grillo, Di Battista e tutti gli schiaffi che volano." 58	0	0
5135	Finisco il Tolc sono esausta apro instagram e vedo che quella rilascia un album a sorpresa. Ti amo e ti odio Taylor.	0	0
5136	<MENTION_1> Si ma questa foto di 15 anni fa ??perché offi lei e culona fatta male ..qui nella foro è una ragazzina invece ..	1	0
5137	<MENTION_1> Lei e una psicopatica analfabeta pericolosa.	1	0
5138	Questo si che e un bel culo&#x1f5a4;&#x1f5a4;&#x1f5a4;&#x1f5a4;&#x1f5a4;sarebbe un piacere incularti &#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;complimenti bel culo&#x2764;️&#x2764;️&#x2764;️	1	0
5139	<MENTION_1> <MENTION_2> Non ascoltare la gatta! È un gran bel culo! &#x1f923;&#x1f923;&#x1f923;	1	0
5140	Cara Antonellina, se un santo masochista come Pietro s’è comportato così c’è sempre un motivo. E quel motivo sei tu, acida, frustrata e cotta del tuo ex #TemptationIsland	1	0
5141	<MENTION_1> Che belle bocce	1	0
5142	<MENTION_1> Fammi sapere di dove sei sono sposato e ti scoperei alla grande	1	1
5143	Ma la Netrebko c’ha un uovo in gola? Che strano timbro sulle note medio-gravi, no? #IlTrovatore	0	0
5144	Dunque, se non ho capito male, la culona, quella che ha architettato la sua decadenza da parlamentare, quella che gli ha distrutto la carriera politica è diventata la paladina dell’Unione Europea &#x1f602;#conte #Governo #Salvini #Berlusconi #RecoveryFound	1	1
5145	<MENTION_1> Meglio che girano al largo perché altrimenti si ritrovano le palle in gola	0	0
5146	<MENTION_1> bullismo pesante no, però prese per il culo sì per un bel po’	0	0
5147	<MENTION_1> Che cazzo centra, visto il discorso di base, se scopo o no? A questo punto ti consiglierei, visto l'idiozia che stai dimostrando, di cambiare il tuo @ : al posto di super etero metti supercoglione che è più veritiero.	0	0
5148	<MENTION_1> ti scopo	1	1
5149	Tra l’altro la parte più angosciante è quando ho fatto le condoglianze alla mamma della mia amica e lei stava piangendo disperatamente mamma mia avevo un groppo in gola	0	0
5150	<MENTION_1> Si e che a primo impatto sembri stronza e psicopatica	1	0
5151	e nessuno lo ha ABBUFFATO DI MAZZATE?	0	0
5152	<MENTION_1> Ma in tv perché hai le tette più grandi?	1	0
5153	Mi ricordo, guardaAvrò avuto sì e no quindici anniQuando a un mio amico in tasca gli trovarono 6 grammiIl boss della retata era uno sbirro con i baffiIo non c'entravo un cazzo e mi beccai pure due schiaffi	0	0
5154	<MENTION_1> Che bocce!	1	0
5155	Siamo in mano, dal governo ai media, ad una massa di idioti antitaliani, basta leccare il ... alla UE e sputare nel piatto di casa per passare per geni. Che schifo	0	0
5156	<MENTION_1> ci va giustamente pesante con la culona... Grande Presidente !!!	1	1
5157	<MENTION_1> Wow che figa pazzesca sei bellissima da perderci la testa bella e troia il massimo che un uomo può desiderare	1	0
5158	Misoginia interiorizzata	0	0
5159	<MENTION_1> Come si fa a rispettare un leccaculo di questa dimensione! infatti la culona lo fa girare come una trottola	1	1
5160	+controllare la mia rabbia. una volta avevo visto un* army scrivere, credo per scherzare, che noi siamo diventati alti e che si sentiva così lontan* da noi e che a parte in quel momento, si sentiva così lontan* [a causa della fama]. ho avuto un nodo in go	0	0
5161	Per la seconda volta in un mese la Guardia costiera italiana ha liberato e salvato una #balena intrappolata in una rete! Quanti di questi immensi mammiferi marini invece non sono stati così fortunati?	0	0
5162	<MENTION_1> Perchè Ramsey e non Pjanic e Bernardeschi invece di Cuadrado! Mi son rotto il cazzo BASTA! Sta lurida merdaccia non ha ancora capito e con lui la dirigenza che piuttosto che ammettere l'INDEGNA scelta sta affondando la squadra,di passare ad u	0	0
5163	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> Ma chiudi la bocca e vai a tifare un’altra squadra	0	0
5164	Certo che gli schiaffi di Conte questa volta hanno fatto proprio male&#x1f602;&#x1f602;&#x1f602;&#x1f602;&#x1f602;&#x1f602;&#x1f602;	0	0
5165	Tutti gli amici che ho avuto, in un modo o in un altro, mi hanno preso in giro e usato per i loro scopi e io ci sono sempre cascata standoci poi male. 18 anni che mi faccio prendere per il culo da tutti. Sono una deficiente, un’ingenua e mi prenderei a schiaffi da sola	0	0
5166	<MENTION_1> <MENTION_2> Avrei preferito scaricarlo denteo un bel culo.	0	0
5167	<MENTION_1> Ti scopo forte	1	1
5168	Pat prende schiaffi tra 3 2 1#upas	0	0
5169	<MENTION_1> Porca troia se piace ...... davvero un bel culo	1	0
5170	<MENTION_1> Boldrini la schifo sta psicopatica	1	0
5171	<MENTION_1> sei una balena	1	0
5172	Ma questa è pazza. Psicopatica. Questo è un ricatto bello e buono ma questa è completamente fuori di testa #TemptationIsland	1	0
5173	<MENTION_1> Se vuoi ti scopo lo sai tutto tuo mio cazzone	1	1
5174	<MENTION_1> Leggo Badoglio e non riesco più a smettere:"O Badoglio Pietro Badoglio (...)A Grazzano giocavi alle bocce/Mentre in Russia crepavan gli alpini,/Ma che importa ci sono i quattrini/E si aspetta la grande occasion/L'occasione infine è arrivata	0	0
5175	<MENTION_1> Quanti schiaffi!Esci una foto e vedi !	1	1
5176	se la mia vicina non smette di urlare in napoletano le strappo la gola	1	1
5177	<MENTION_1> Che bel culo tutto da inculare e farti bere la mia sborra calda	1	1
5178	<MENTION_1> E quella baldracca ha risolto il problema senza che niente accada...badilate di &#x1f4a9;	1	0
5179	che nervosismo	0	0
5180	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> Beh, non mi sento sottomessa o sfruttata &#x1f601;	0	0
5181	<MENTION_1> Mamma mia quanti schiaffi ti darei	1	1
5182	Quindi le ragazze sputtanare sui gruppi di stupro virtuale Telegram non subisco molestia perché loro non sono nei gruppi e non sono presenti all'atto, tutto chiaro &#x2728;	0	0
5183	<MENTION_1> Ma perché sei così acida? Sei carina puoi dare tanto, dai troppo peso secondo il mio punto di vista a persone che non meritano.Scusa non conosco tuoi eventi ma vivi per te stessa.	1	0
5184	<MENTION_1> Era un apprezzamento latino, se non sbaglio, una citazione biblica, che elogia la cotanta elevata bellezza dei tuoi pargoletti. (anche se, aggiungo, un paio di schiaffi a entrambi avresti potuto darglieli, ma giusto per metterli su una vi	0	0
5185	Sento il piantino in golaNon scherzo	0	0
5186	<MENTION_1> <MENTION_2> che belle zinne che bella figa che bel culo	1	1
5187	<MENTION_1> Ch'è troia che sei....ti sborrerei ovunque....	1	0
5188	<MENTION_1> Quella si merita solo grandi schiaffi e calci nel culo	1	1
5189	<MENTION_1> Questo prende schiaffi da tutte le parti , ma secondo lui ha vinto	0	0
5190	sei acida perchè non hai figli: buon 1920 #TemptationIsland	0	0
5191	<MENTION_1> <MENTION_2> Riccardino, cagati in mano e prenditi a schiaffi e torna a tifare per la tua squadra che non è la Juve sicuramente capito? caprone	0	0
5192	posso dire che odio la voce della puccini? pare in perenne mal di gola	0	0
5193	<MENTION_1> Che figlio di puttana che sei	0	0
5194	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> <MENTION_6> <MENTION_7> Come sei suscettibile. Invidiosa? E di cosa, del tuo profilo falso oppure delle foto finte che rubi in giro da internet?Comunque si, non mi lamento in te invece noto d	1	0
5195	<MENTION_1> Sei una puttana che fotre i soldi&#x1f923;	1	0
5196	<MENTION_1> Ciao e complimenti che bel culo &#x1f60b;&#x1f60b;&#x1f60b;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;	1	0
5197	<MENTION_1> stream rain on me per avere un bel culo e delle belle tutte da mostrare	1	0
5198	<MENTION_1> Che ne dici se ti scopo	1	0
5199	<MENTION_1> <MENTION_2> <MENTION_3> Sei solo una bulla , spesso la gente che fa arti marziali è umile , tu non lo sei ,te la prendi con una ragazza normale . Facile per te dirle ti spacco in due , lei non pratica arti marziali quindi dove il tuo s	0	0
5200	<MENTION_1> Che bel culo &#x1f60d;&#x1f60d;	1	0
5201	<MENTION_1> Che bella tettona	1	0
5202	SENTIMENTO ANTILOMBARDO vorrei che chiunque si sia riempito la bocca di quese parole ai tempi della quarantena si cachi in faccia e si dia una manciata di schiaffi. E andatevene a fanculo.	0	0
5203	Se non vi disturba magari domenica lo vogliamo vincere porca madonna lurida bastarda?! <MENTION_1>	0	0
5204	#AndreaPerIlSocialeSe avete il dubbio che una persona senza mascherina vi stia troppo vicina, stendete un braccio verso il suo viso e iniziate a muovere la mano. Se non sente che state facendo vento è abbastanza distante.Se la state prendendo a schiaffi avevate ragione voi!	0	0
5205	<MENTION_1> ahahahahahahaah...chiudi la bocca e avrai 2 risultati ottimi..1 non dirai più cazzate e 2 magari mangi un po meno	0	0
5206	sento una musica ogni volta che ti sto accanto, quando ti perdo e poi ci ripenso come se fosse la fine del mondo, no non avere paura quando vai a dormire sola, se la stanza sembra vuota e se senti il cuore in gola, non avere paura mi prenderò cura io di te.#CMSSEXCHANGE	0	0
5207	<MENTION_1> Ti scoperei!!!	1	1
5208	Posso volerlo vedere cagarsi in mano e prendersi a schiaffi finché non diventano dispari o sono nazista?	0	0
5209	<MENTION_1> Speriamo muori. Figlio di puttana. Mentre ridiTua madre fa i bocchini	1	0
5210	Uo farei pizza e figa	0	0
5211	Quella pallida ma appetibile chi è?- Mia sorellaNo, intendo quella al lato con la faccia da baldracca- Mia madreAh!	1	0
5212	<MENTION_1> sei una vera porca ma mi piace questa idea	1	0
5213	<MENTION_1> chissà a vederti col culo a perto e il buco che si vede bene e magari che succhi un bel cazzo,come negli ultimi video di Luiggi	0	0
5214	qualcuno mi prenda a schiaffi e mi faccia svegliare perchè tutto ciò che è successo oggi mi sembra surreale	0	0
5215	Se non la smetti ti arrivano tanti di quegli schiaffi che non hai idea.Placati che non sei nessuno, grazie	0	0
5216	<MENTION_1> Te lo metto duro fra le tette e poi ti sborro tutta&#x1f952;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;&#x1f4a6;	1	1
5217	<MENTION_1> <MENTION_2> <MENTION_3> <MENTION_4> <MENTION_5> E sei tu che non ti devi avvicinare, sennò siamo ancora nel "se l'è cercata"	0	0
5218	<MENTION_1> Bel culo!! Complimenti!!	1	0
5219	Stasera sono andata al lago che c’è da me, era tempo che non ci andavo, e tornarci dopo tutto quello che è successo mi ha fatto stare tutto il tempo con il magone in gola e il pensiero costantemente a Naya.. non riesco ancora a credere che è tutto vero, che lei non c’è più	0	0
5220	Tutta sta faccenda mi ha ricordato una persona in particolare che alludeva al suicidio per farmi parlare con lui o provare pena perché non ricambiavo i suoi sentimenti, proprio in uno di quei rari momenti quando ero riuscita a rialzarmi	0	0
5221	io ogni volti volta che incontro qualche figa di legno	1	0
5222	Acida perché non ha figli beh certo un ragionamento da Oscar #TemptationIsland	0	0
5223	La Bellezza che precede, con la sua verità, il prossimo divenire...	0	0
5224	Il nuovo datore di lavoro mi fa ogni giorno più schifo -il #covid non esiste-siete due, c'è una sedia, portatevene una da casa-il bambino morto nel pozzo era una TestaDiCazzo E oggi -non si iscrive più nessun bel culo da guardare, che poi le belle son tutte puttane	1	0
5225	Non so se sia vero o meno ma nel dubbio, maremma maiala lurida. (:[Non è una bestemmia e già ve lo dico mettendo le mani avanti]	0	0
5226	La vecchia baldracca al <MENTION_1> #Lamorgese ci sta riempiendo di questa feccia dell'umanità.<MENTION_2> pezzo di merda-figlio-di-puttana-infame hai fatto dell'Italia un campo di clandestini	1	0
